Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1694546538,1694546538,60,0,4337.820313,4346.282227,4369.102539,4365.897461,4367.05127,4357.94873,4364.615234,4362.436035,4373.974121,4290.512695,4508.846191,4488.717773,4473.974121,4341.922852,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,15.0,0.0,0.678899,-0.498047,-0.500427,-0.201538,0.875107,-0.465389,-0.049811,-10.154905,-54.156174,4.872725
1694546538,1694546538,61,0,4351.538574,4353.333496,4383.205078,4378.589844,4374.358887,4356.410156,4366.794922,4371.922852,4381.410156,4305.641113,4522.94873,4503.205078,4474.615234,4347.307617,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,62,0,4364.615234,4357.563965,4397.94873,4382.05127,4378.974121,4354.102539,4368.717773,4378.717773,4387.820313,4315.0,4538.589844,4515.256348,4479.615234,4353.333496,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,63,0,4362.05127,4355.769043,4399.230957,4375.256348,4372.307617,4353.333496,4364.743652,4371.410156,4380.128418,4298.333496,4542.307617,4515.256348,4470.128418,4352.436035,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,64,0,4369.487305,4358.461426,4404.358887,4377.94873,4368.717773,4358.589844,4370.769043,4366.153809,4370.897461,4293.205078,4550.256348,4520.256348,4458.205078,4354.358887,5669,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,16.0,0.0,0.678952,-0.497864,-0.500488,-0.20166,0.887315,-0.454645,-0.057624,-10.222749,-54.173889,4.885453
1694546538,1694546538,65,0,4383.589844,4366.538574,4415.641113,4386.410156,4384.487305,4360.641113,4381.153809,4370.384766,4373.589844,4310.0,4572.692383,4533.461426,4461.538574,4366.410156,5532,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,66,0,4379.871582,4372.307617,4416.922852,4390.512695,4392.307617,4355.256348,4376.922852,4364.358887,4369.871582,4314.102539,4578.333496,4529.871582,4457.179688,4366.922852,5429,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,67,0,4373.205078,4370.512695,4408.333496,4392.179688,4383.461426,4350.769043,4363.846191,4351.538574,4355.769043,4291.153809,4563.205078,4512.05127,4433.589844,4349.871582,5345,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,68,0,4372.563965,4363.589844,4396.538574,4388.077148,4381.666504,4350.897461,4358.077148,4344.615234,4349.743652,4274.871582,4557.692383,4502.179688,4416.025879,4340.512695,5320,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,17.0,0.0,0.678907,-0.497742,-0.500671,-0.20166,0.870223,-0.454157,-0.054694,-10.283807,-54.056499,4.846907
1694546538,1694546538,69,0,4365.641113,4355.128418,4390.384766,4378.205078,4376.025879,4352.563965,4360.0,4343.077148,4348.974121,4280.128418,4557.692383,4496.538574,4406.282227,4337.436035,5232,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
