title:اسدي كاف, start timestamp:1701685567.898888, stop timestamp:1701685578.650571, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
,,,,,,,,,,
0.000000,0.678343,-0.284790,-0.675598,-0.048096,0.938103,-0.323282,-0.074228,-12.766075,-62.917068,80.562439
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678349,-0.284485,-0.675720,-0.048096,0.934196,-0.334513,-0.068856,-12.589468,-62.842026,80.556198
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678410,-0.284485,-0.675659,-0.048096,0.933219,-0.329630,-0.077646,-12.530521,-62.741158,80.467239
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678371,-0.284546,-0.675659,-0.048279,0.930778,-0.327188,-0.064461,-12.344135,-62.650375,80.553848
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678436,-0.284485,-0.675598,-0.048584,0.923941,-0.320840,-0.063484,-12.243055,-62.585339,80.515137
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678362,-0.284485,-0.675659,-0.048767,0.938103,-0.331095,-0.072763,-12.252083,-62.676804,80.463623
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678379,-0.284424,-0.675659,-0.048889,0.938103,-0.315957,-0.070321,-12.226875,-62.759125,80.300591
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678371,-0.284485,-0.675659,-0.048645,0.935661,-0.324747,-0.077646,-12.204187,-62.833210,80.187195
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678359,-0.284668,-0.675598,-0.048584,0.933708,-0.325723,-0.072274,-12.250435,-62.949890,80.118477
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678347,-0.284851,-0.675537,-0.048523,0.922964,-0.313515,-0.076181,-12.225391,-63.088234,80.106628
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678249,-0.285095,-0.675537,-0.048462,0.935173,-0.312050,-0.077646,-12.136186,-63.096077,80.112633
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678244,-0.284973,-0.675598,-0.048401,0.939079,-0.330607,-0.075204,-12.022568,-63.136471,80.184708
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678227,-0.285034,-0.675598,-0.048279,0.926383,-0.329142,-0.075693,-12.036977,-63.272823,80.232903
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678249,-0.285095,-0.675537,-0.048462,0.929313,-0.326212,-0.062996,-12.049946,-63.345539,80.309608
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678301,-0.285095,-0.675476,-0.048584,0.930289,-0.323282,-0.077158,-11.844952,-63.494320,80.261986
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678349,-0.285095,-0.675415,-0.048767,0.920034,-0.309608,-0.076181,-12.010456,-63.511555,80.135788
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678374,-0.285034,-0.675415,-0.048767,0.942010,-0.313515,-0.078135,-12.042744,-63.427067,80.172203
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678396,-0.284973,-0.675415,-0.048828,0.937614,-0.331095,-0.079600,-12.138470,-63.484360,80.138321
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678309,-0.285034,-0.675476,-0.048828,0.927848,-0.320840,-0.068856,-12.157956,-63.435925,80.174484
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678326,-0.284973,-0.675476,-0.048950,0.929313,-0.334025,-0.069344,-12.208827,-63.492332,80.307037
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678318,-0.285095,-0.675415,-0.049194,0.940544,-0.318398,-0.078135,-12.187944,-63.576431,80.193001
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678171,-0.285278,-0.675476,-0.049316,0.923453,-0.314003,-0.066903,-12.135817,-63.535454,80.190369
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678015,-0.285339,-0.675598,-0.049438,0.923453,-0.321817,-0.070809,-12.055569,-63.548576,80.321327
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678015,-0.285339,-0.675598,-0.049438,0.928336,-0.316933,-0.080576,-12.133345,-63.743717,80.339195
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678106,-0.285278,-0.675537,-0.049377,0.920034,-0.324747,-0.069344,-12.070010,-63.552681,80.271942
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678153,-0.285156,-0.675537,-0.049438,0.940056,-0.319863,-0.075693,-12.029676,-63.680744,80.261414
